#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
5000,10.000000000000009,-53430.7976752891,306.4678542410614
10000,19.999999999999794,-54000.56506415247,298.897078967543
15000,29.99999999999425,-53537.662891269836,301.742627639732
20000,40.00000000000292,-53556.819995214,293.87438173337443
25000,50.00000000001514,-54097.12367225785,305.96707415743754
30000,60.00000000002736,-53704.399948564125,291.1692498562061
35000,70.00000000001826,-53371.265216839645,296.47741369413177
40000,79.99999999999496,-54065.78178043323,293.5196560493939
45000,89.99999999997165,-53748.579781120294,300.8875868262567
50000,99.99999999994834,-53723.5773996487,296.64054478193447
55000,109.99999999992504,-53722.17307523277,305.4885052405025
60000,119.99999999990173,-53962.167630930955,297.786879431948
65000,129.99999999989262,-53981.24734185904,298.3633146427001
70000,139.99999999994037,-53460.64593867073,298.62509081289755
75000,149.99999999998812,-53585.26318933122,292.8023395508973
80000,160.00000000003587,-53872.51445266712,298.5805630862919
85000,170.00000000008362,-53825.32261726106,297.8622449836514
90000,180.00000000013137,-54228.66453946437,298.01222768754474
95000,190.0000000001791,-54024.341206329525,294.9395340127516
100000,200.00000000022686,-53456.148476701404,291.48183504883485
105000,210.0000000002746,-53621.32148507764,294.2611788727839
110000,220.00000000032236,-53878.705725566426,300.79700750060465
115000,230.0000000003701,-54161.666630539316,303.56080240567195
120000,240.00000000041786,-53634.030877160985,298.3543100753221
125000,250.0000000004656,-53849.708701751224,297.5345579987185
130000,260.00000000051335,-53972.403368360625,294.0579557992815
135000,270.0000000005611,-54036.30722305871,293.2422721133076
140000,280.00000000060885,-53787.92647799314,295.95460734559606
145000,290.0000000006566,-53717.35543801868,307.88717485535886
150000,300.00000000070435,-53945.48387404511,301.67482655573593
155000,310.0000000007521,-53542.95576716092,298.3005179168569
160000,320.00000000079984,-53686.557582863956,305.9432626392938
165000,330.0000000008476,-53432.16985576801,299.5045775693252
170000,340.00000000089534,-53574.02557074092,294.6113705640082
175000,350.0000000009431,-54556.34806174802,294.35609232454004
180000,360.00000000099084,-53823.51244572905,297.26167583214277
185000,370.0000000010386,-53804.02260496214,302.51265552880966
