#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
5000,10.000000000000009,-51208.14415884149,296.61256403638265
10000,19.999999999999794,-51291.15836306306,296.83099881727475
15000,29.99999999999425,-51781.87123715787,309.44970143380635
20000,40.00000000000292,-51599.23766170576,296.1814738270449
25000,50.00000000001514,-51269.53730906581,298.1971346476105
30000,60.00000000002736,-51729.3361206828,295.9200365188848
35000,70.00000000001826,-51370.56991896464,293.74256227355204
40000,79.99999999999496,-51615.3922385982,298.18388179786507
45000,89.99999999997165,-51744.37723440083,301.9398444941839
50000,99.99999999994834,-51503.12587146193,296.2451186653451
55000,109.99999999992504,-51274.145644481265,293.2606744739316
60000,119.99999999990173,-51618.66751279868,303.3336736786998
65000,129.99999999989262,-51449.74782578007,300.2578666103884
70000,139.99999999994037,-51553.24366202799,300.40045911698303
75000,149.99999999998812,-51243.95306001045,296.39664292068363
80000,160.00000000003587,-51322.83935771737,300.234567662431
85000,170.00000000008362,-51490.43902058143,297.9763724167341
90000,180.00000000013137,-50979.9921011758,297.0364696803155
95000,190.0000000001791,-51426.07154636289,303.0711107982213
100000,200.00000000022686,-51725.897194517805,296.08423976809746
105000,210.0000000002746,-51323.8636938002,296.7930430209074
110000,220.00000000032236,-51469.79936571195,298.19207011129697
115000,230.0000000003701,-51342.63405013934,302.3988987260757
120000,240.00000000041786,-51512.51883545326,302.96799958300596
125000,250.0000000004656,-51229.840718579944,298.7747572900461
130000,260.00000000051335,-51651.39764611045,303.4401334932484
135000,270.0000000005611,-51526.01584058965,299.90754319001786
140000,280.00000000060885,-51734.56307541579,295.08985813725945
145000,290.0000000006566,-51464.67662741622,294.88179310774314
150000,300.00000000070435,-51496.114230481646,299.2130670518641
155000,310.0000000007521,-51409.56700547956,303.0466267873124
160000,320.00000000079984,-51633.7950543559,296.1352583128348
165000,330.0000000008476,-51527.23990408931,295.6120328408637
170000,340.00000000089534,-51449.80715756019,300.8814233393516
175000,350.0000000009431,-51003.71464943327,298.5892126917347
180000,360.00000000099084,-51563.21639054309,302.0529156774836
185000,370.0000000010386,-51828.7880960372,295.3111448963878
190000,380.00000000108633,-51076.481854107406,297.19584961914836
195000,390.0000000011341,-51852.56862658536,307.8071493074584
