#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
5000,10.000000000000009,-52564.88049214857,299.09031274582503
10000,19.999999999999794,-52809.109921286814,298.4678299111969
15000,29.99999999999425,-53055.66734092499,296.9789978113444
20000,40.00000000000292,-52720.48247948394,305.43901690763073
25000,50.00000000001514,-52994.85267722412,294.8459262017152
30000,60.00000000002736,-52889.59767366323,304.20014061139784
35000,70.00000000001826,-52899.25651215375,301.71263371627447
40000,79.99999999999496,-52999.72563546139,301.2619857858752
45000,89.99999999997165,-53203.959307728335,293.72221303346413
50000,99.99999999994834,-52659.44306610848,304.01594472619405
55000,109.99999999992504,-52796.72783184788,301.3045916007352
60000,119.99999999990173,-53010.891103947855,295.1855878321278
65000,129.99999999989262,-52902.74350532581,297.910436681466
70000,139.99999999994037,-53102.986656662106,296.863182584129
75000,149.99999999998812,-52808.537852899724,307.3100398774981
80000,160.00000000003587,-52952.66524118793,298.6049791299425
85000,170.00000000008362,-52868.347808110004,303.45155279655154
90000,180.00000000013137,-52922.614281120914,300.62559789116557
95000,190.0000000001791,-53275.76130620469,305.88252695042684
100000,200.00000000022686,-52946.40139611426,293.8967382306438
105000,210.0000000002746,-53073.11402424873,286.9503728844716
110000,220.00000000032236,-52714.9838926291,288.09462091732723
115000,230.0000000003701,-53049.80644837962,297.0948888413449
120000,240.00000000041786,-52958.28967666658,295.98098906310713
125000,250.0000000004656,-52955.60661179671,299.66215149908123
130000,260.00000000051335,-52742.58146957474,295.91521393265054
135000,270.0000000005611,-53044.54075372478,287.6333156458412
140000,280.00000000060885,-52963.23042200814,297.8825043704174
145000,290.0000000006566,-52428.26407932717,301.6113845979309
150000,300.00000000070435,-53133.99347319733,298.44874379440023
155000,310.0000000007521,-52632.12577663196,297.53559177080894
160000,320.00000000079984,-52967.027033525635,308.0624916390855
165000,330.0000000008476,-53027.78314562171,296.81712262492385
170000,340.00000000089534,-52757.78088705949,305.7928343489566
175000,350.0000000009431,-52834.73053809506,295.29428093016486
180000,360.00000000099084,-53140.74723945139,304.9355908729557
185000,370.0000000010386,-52918.54634042052,301.15192326164964
190000,380.00000000108633,-53274.27336262056,296.34256137209496
195000,390.0000000011341,-53122.09211228439,301.4234110795904
200000,400.00000000118183,-52631.041006304935,300.4392968013178
205000,410.0000000012296,-52886.74458255572,298.8778316817185
210000,420.00000000127733,-52949.9438813726,296.7429467879785
215000,430.0000000013251,-52990.40886903991,300.99726595704476
220000,440.0000000013728,-52977.5798431423,298.75937771768486
225000,450.0000000014206,-53212.24885300215,305.3819069521602
230000,460.0000000014683,-53017.36883942288,296.8464198299972
235000,470.00000000151607,-52534.98224793738,296.9769114597128
240000,480.0000000015638,-52712.539361084346,304.38221233917506
245000,490.00000000161157,-53069.50879764589,297.7794211331104
250000,500.0000000016593,-53451.68634297955,304.671206402261
255000,510.00000000170706,-53197.71995572187,302.4660550450347
260000,520.0000000015274,-52857.16350615834,300.02236872281975
265000,530.0000000012909,-53217.9533107302,295.23545341083144
270000,540.0000000010544,-52937.89261765126,303.1957144784206
275000,550.000000000818,-53117.67848147475,297.0304338622972
280000,560.0000000005815,-53001.58968884262,296.4026793139884
285000,570.000000000345,-52926.95924342048,292.4194874135394
290000,580.0000000001086,-53007.51810077316,300.92440370172005
295000,589.9999999998721,-52996.5104828091,301.56300354604394
300000,599.9999999996356,-52750.8954621779,298.2227021997907
305000,609.9999999993992,-53243.67494250761,301.00615817517394
310000,619.9999999991627,-53377.85213644421,300.17325265610975
315000,629.9999999989262,-52995.448943273106,293.8932714473119
320000,639.9999999986898,-53298.60842606964,298.7954922530465
325000,649.9999999984533,-53040.29681451846,306.22810993651626
330000,659.9999999982168,-53069.94632811326,298.50843724515744
335000,669.9999999979804,-53050.0340652297,295.13034586104794
340000,679.9999999977439,-53314.03409831316,297.6786405735498
345000,689.9999999975074,-52994.631744137994,293.56404482711184
350000,699.999999997271,-52679.965145405615,300.11700949788394
355000,709.9999999970345,-52832.89894126254,298.9275891256504
360000,719.999999996798,-53142.36640590147,306.19776630754683
365000,729.9999999965615,-53020.150653222285,299.3758807057032
370000,739.9999999963251,-53059.82669884525,301.1342887861491
375000,749.9999999960886,-52905.022647310805,306.1788246765491
380000,759.9999999958521,-52980.409197001776,298.6768569988593
385000,769.9999999956157,-52914.770027968945,294.94049862887687
390000,779.9999999953792,-52908.395038752584,294.6081069626251
395000,789.9999999951427,-52826.32257307606,301.42283293007955
400000,799.9999999949063,-52733.55983317815,299.78446367869265
405000,809.9999999946698,-53027.4974637994,305.33249777750063
410000,819.9999999944333,-53061.62596748138,291.5122578001652
415000,829.9999999941969,-53119.44080633181,298.57678342491437
420000,839.9999999939604,-52717.34978669521,301.0217975323545
425000,849.9999999937239,-52988.29318421928,296.6349612722847
430000,859.9999999934874,-53106.63962891523,296.99333081351693
435000,869.999999993251,-52735.4672569228,288.3106398233529
440000,879.9999999930145,-52696.79879889748,294.19031470010015
445000,889.999999992778,-52909.44864728543,300.0262419659018
450000,899.9999999925416,-52973.86288235805,296.029362270251
455000,909.9999999923051,-53196.537961596245,295.2454925378718
460000,919.9999999920686,-52762.14936446329,299.4820666471663
465000,929.9999999918322,-53200.6255739558,297.8295705877208
470000,939.9999999915957,-53121.59854082574,288.72204745454974
475000,949.9999999913592,-52435.93906581207,299.4347764221073
480000,959.9999999911228,-52592.86524337312,296.5722069911962
485000,969.9999999908863,-52951.44497207267,302.0919041652861
490000,979.9999999906498,-52889.47279046656,303.06054649064384
495000,989.9999999904134,-52750.03040651322,296.2879651636614
500000,999.9999999901769,-52908.41262996814,299.3160374274491
505000,1009.9999999899404,-53008.64809700774,296.69629026744747
510000,1019.999999989704,-52635.366457716504,312.9078268007005
515000,1029.9999999894676,-52515.980096768326,295.070137675666
520000,1039.9999999892311,-52985.42146987439,298.1971258063064
525000,1049.9999999889947,-53046.52890528258,294.18379795165924
530000,1059.9999999887582,-53069.4662404572,299.5818377881706
535000,1069.9999999885217,-52909.6763189788,297.1463463060466
540000,1079.9999999882853,-53209.924180406524,295.6193663001982
545000,1089.9999999880488,-53200.66560623323,296.2977916611771
550000,1099.9999999878123,-52392.872116750106,287.7122669822247
555000,1109.9999999875758,-52914.71636296765,291.7751934120328
