#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
5000,10.000000000000009,-50563.86691812257,296.3381004662538
10000,19.999999999999794,-50257.09842354874,303.2385828653561
15000,29.99999999999425,-50752.4842433061,295.3458450726161
20000,40.00000000000292,-50850.633891855745,300.012088024039
25000,50.00000000001514,-50402.51946454949,290.62066338613715
30000,60.00000000002736,-50870.12538007082,297.87923352860196
35000,70.00000000001826,-50467.545965368365,295.8934054315698
40000,79.99999999999496,-50611.946931004786,299.43198991888465
45000,89.99999999997165,-50500.05934130025,303.1161875908688
50000,99.99999999994834,-50829.63732772041,294.74458651676946
55000,109.99999999992504,-50563.3711009151,303.2321105854719
60000,119.99999999990173,-50748.58647853372,297.66153140314475
65000,129.99999999989262,-50725.169067182025,307.96716989504904
70000,139.99999999994037,-50594.05244743341,304.05490264997377
75000,149.99999999998812,-50624.19657332153,301.13338755481567
80000,160.00000000003587,-50426.658411268465,302.8885521030566
85000,170.00000000008362,-50738.780321597966,299.0658387835075
90000,180.00000000013137,-50751.57284268172,300.44835060476794
95000,190.0000000001791,-50194.23687006321,298.90525559852904
100000,200.00000000022686,-50928.81987981332,311.0502138633478
105000,210.0000000002746,-50447.438277582056,299.83909391668846
110000,220.00000000032236,-50525.641738641745,297.10297206649454
115000,230.0000000003701,-50853.41230537888,300.01424369469936
120000,240.00000000041786,-50501.25462984553,298.32696213430563
125000,250.0000000004656,-50592.55552457861,300.03244801979724
130000,260.00000000051335,-51103.46931436393,295.8899012143315
135000,270.0000000005611,-50639.967946698715,299.73638110519397
140000,280.00000000060885,-50617.66671628301,295.70998393647426
145000,290.0000000006566,-50591.12460770551,299.18894259224777
150000,300.00000000070435,-50362.44742287745,303.0586082464189
155000,310.0000000007521,-50860.80843196233,299.9802778172562
160000,320.00000000079984,-50392.10260120977,299.48066119728657
165000,330.0000000008476,-50652.252150145825,304.0589999096995
170000,340.00000000089534,-50553.616105175344,303.2689027752577
175000,350.0000000009431,-51013.32247573577,295.36283325874734
180000,360.00000000099084,-50539.62519347621,301.81065176484884
185000,370.0000000010386,-50335.642069615045,301.68614996137404
190000,380.00000000108633,-50631.69324922116,304.5036595265289
195000,390.0000000011341,-50888.33592407836,288.75590361760726
200000,400.00000000118183,-50466.90249045845,296.6009876341656
205000,410.0000000012296,-50549.768556421535,294.3523498765993
210000,420.00000000127733,-50583.00997307588,297.0197083708591
215000,430.0000000013251,-50443.706826319016,288.31081269590095
220000,440.0000000013728,-50728.46380253858,297.41025289441984
225000,450.0000000014206,-50448.37889981529,304.74908841087904
230000,460.0000000014683,-50699.068970183376,296.57707706956376
235000,470.00000000151607,-50784.226472415176,300.2278853358346
240000,480.0000000015638,-51324.24972830279,300.6677545856203
