#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
5000,10.000000000000009,-53287.59558355453,302.6662427487058
10000,19.999999999999794,-52951.78503304484,296.1947713945471
15000,29.99999999999425,-52840.74595160401,296.16724537748223
20000,40.00000000000292,-52879.117335320945,288.41385714119883
25000,50.00000000001514,-53230.441811925615,297.9507431332759
30000,60.00000000002736,-52873.69189172221,299.0112916531484
35000,70.00000000001826,-52942.04964204584,303.6421346999729
40000,79.99999999999496,-53320.23735845863,302.6624390131988
45000,89.99999999997165,-52814.76535247598,299.2968089964598
50000,99.99999999994834,-53242.11284019367,297.88366483582064
55000,109.99999999992504,-52850.28336763929,294.6722215873831
60000,119.99999999990173,-53113.44131665441,298.5004400314031
65000,129.99999999989262,-53280.48157921387,291.520614025387
70000,139.99999999994037,-53246.98216964927,304.2171414900627
75000,149.99999999998812,-52944.152606618736,305.1393906117838
80000,160.00000000003587,-52830.47852127493,307.24715211925627
85000,170.00000000008362,-53084.339487372345,293.54498158851703
90000,180.00000000013137,-52998.571906283614,300.9121378969405
95000,190.0000000001791,-53267.62225076312,293.54369196888706
100000,200.00000000022686,-52939.77688534916,298.1471286104676
105000,210.0000000002746,-53403.07918954408,306.6274646180988
110000,220.00000000032236,-52996.31078244871,297.8134472012143
115000,230.0000000003701,-53223.85917964231,297.4557043163661
120000,240.00000000041786,-52659.921649210504,299.47023228236793
125000,250.0000000004656,-52798.426793726074,307.3399945016237
130000,260.00000000051335,-53174.1910610972,303.56207042677494
135000,270.0000000005611,-52661.75148863532,298.7185309176581
140000,280.00000000060885,-52865.42894369198,311.532867703877
145000,290.0000000006566,-52789.726550048625,291.1324124309397
150000,300.00000000070435,-53359.55864885915,299.7327390894102
155000,310.0000000007521,-53050.392648433975,304.3263282756559
160000,320.00000000079984,-53016.19146158878,300.0862537124286
165000,330.0000000008476,-53004.05267863229,296.5978084662141
170000,340.00000000089534,-53041.41726556257,296.25720868888203
175000,350.0000000009431,-52270.984161734785,299.60700609563224
180000,360.00000000099084,-53278.441160564835,300.9239290564098
185000,370.0000000010386,-52831.58052322062,305.072707159329
190000,380.00000000108633,-52909.70307277728,295.67594711963
195000,390.0000000011341,-53011.31939647312,296.4237454808358
200000,400.00000000118183,-53098.27571381902,300.39128434807907
205000,410.0000000012296,-52818.10877305819,292.9105722432703
210000,420.00000000127733,-52754.09342440494,294.420039552758
215000,430.0000000013251,-52843.68949004874,292.3510198182628
220000,440.0000000013728,-53033.7101012987,288.12384298274657
225000,450.0000000014206,-52809.82018135078,301.1385531242761
230000,460.0000000014683,-52889.604175283224,303.27330688279704
235000,470.00000000151607,-53039.242923811806,298.4746724519359
240000,480.0000000015638,-52982.83277146245,301.84004491108965
245000,490.00000000161157,-52919.93881352179,293.44691033574844
250000,500.0000000016593,-52802.09901554874,294.4876065641835
255000,510.00000000170706,-52939.111600325356,293.1499497308051
260000,520.0000000015274,-52649.22293573542,296.3211985628
265000,530.0000000012909,-52940.110178767674,296.78327541055364
270000,540.0000000010544,-53026.238095167966,299.31560100617014
275000,550.000000000818,-53085.650119153404,294.15695268291415
280000,560.0000000005815,-52872.59838299567,294.84518254944356
285000,570.000000000345,-53034.346512314834,299.48898083679035
290000,580.0000000001086,-52577.91065140639,296.8885976080001
295000,589.9999999998721,-53119.31560725451,296.77071984161654
300000,599.9999999996356,-52920.90361271726,291.85064916421237
305000,609.9999999993992,-53379.45830830111,303.54155558023973
310000,619.9999999991627,-52955.439954665344,304.2175931979799
315000,629.9999999989262,-53053.60218279748,300.8453064374818
320000,639.9999999986898,-53088.27343467419,295.1819413025821
325000,649.9999999984533,-53068.47103181822,296.3564391203862
330000,659.9999999982168,-53289.18776039468,291.4024122132093
335000,669.9999999979804,-53018.68425744239,300.0280941365751
340000,679.9999999977439,-52980.31674694325,305.71377001684283
345000,689.9999999975074,-52977.08004912964,300.4668421720951
350000,699.999999997271,-52864.75637629896,296.89742797918086
355000,709.9999999970345,-53186.31075406558,294.3719425286688
360000,719.999999996798,-52823.470938359096,296.4281448718951
365000,729.9999999965615,-52962.543447435484,296.54582669449906
370000,739.9999999963251,-52927.43613567916,310.62359593140826
375000,749.9999999960886,-52682.80389500593,294.28648620899185
380000,759.9999999958521,-52827.511742763396,301.52377510249283
385000,769.9999999956157,-52959.80672643235,297.8635813929199
390000,779.9999999953792,-53011.93412946648,293.4162619046991
395000,789.9999999951427,-52958.88586799087,295.2288129011405
400000,799.9999999949063,-53027.57466455092,301.303704996721
405000,809.9999999946698,-52856.28694507925,291.0289366256842
410000,819.9999999944333,-52613.74262955581,293.44897034959797
415000,829.9999999941969,-53100.82038424219,298.4098528865903
420000,839.9999999939604,-53119.88420185723,299.7068821077658
425000,849.9999999937239,-52820.154066778254,299.32962772956216
430000,859.9999999934874,-53289.996427273436,306.6847850133398
435000,869.999999993251,-53194.51614851269,293.0520742634714
440000,879.9999999930145,-53037.56282301113,301.85799539696166
445000,889.999999992778,-53258.57016052521,294.38999731664194
450000,899.9999999925416,-52735.24950513663,296.75913373504335
455000,909.9999999923051,-52826.1511719932,297.90466841850247
460000,919.9999999920686,-53151.98932291023,290.48291585751525
465000,929.9999999918322,-53086.931797922734,295.57455591533835
470000,939.9999999915957,-52690.51600892795,307.66906769899214
475000,949.9999999913592,-52962.74604393085,302.1097514851556
480000,959.9999999911228,-52944.50034431863,298.89062304875546
485000,969.9999999908863,-53225.990253200114,300.094848459363
490000,979.9999999906498,-53431.33445105696,296.265493522956
