#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
5000,10.000000000000009,-53157.61076299177,294.75687133429193
10000,19.999999999999794,-52810.55948780215,293.1250119251213
15000,29.99999999999425,-53165.987034632126,296.4383157080542
20000,40.00000000000292,-53287.92936706875,298.1222841997863
25000,50.00000000001514,-53009.67103150752,299.8605082022795
30000,60.00000000002736,-53137.132213181816,294.227773252229
35000,70.00000000001826,-52928.36921054943,290.5337396910373
40000,79.99999999999496,-52649.50031255011,301.762309021637
45000,89.99999999997165,-53178.7997270386,299.1371382197331
50000,99.99999999994834,-53086.471039274125,293.29902581967247
55000,109.99999999992504,-53262.406597369525,291.94742065302904
60000,119.99999999990173,-52816.83504746837,291.35064932534414
65000,129.99999999989262,-53346.83120866996,296.6367122740388
70000,139.99999999994037,-53034.47404442067,300.7845551846267
75000,149.99999999998812,-52465.36686607677,289.8979131361817
80000,160.00000000003587,-53208.67668907609,298.13092130613103
85000,170.00000000008362,-53108.225138581154,296.5834707941606
90000,180.00000000013137,-52989.99357029714,296.36008194617784
95000,190.0000000001791,-53269.46932662313,304.1689202223825
100000,200.00000000022686,-53348.98568558763,300.3911036624705
105000,210.0000000002746,-53109.49763999792,300.9993262866988
110000,220.00000000032236,-53059.61700915103,296.81673316548535
115000,230.0000000003701,-53235.79248162676,289.0548824607638
120000,240.00000000041786,-53373.46079229185,298.2634141162256
125000,250.0000000004656,-53098.54959868948,294.6645512815739
130000,260.00000000051335,-52709.366734994546,300.3600875933835
135000,270.0000000005611,-52894.47895363619,294.8410578606385
140000,280.00000000060885,-53157.198025620426,303.3739195912713
145000,290.0000000006566,-53361.00915165627,295.3743460421134
150000,300.00000000070435,-53043.55083900271,300.8306638153723
155000,310.0000000007521,-53125.9085145627,305.04676430298525
160000,320.00000000079984,-52866.719580377365,300.96527224703624
165000,330.0000000008476,-53688.95539643537,290.06518967801503
170000,340.00000000089534,-52885.258638883126,293.8110070879244
175000,350.0000000009431,-52859.9200413872,300.3113618574268
180000,360.00000000099084,-52960.95186915656,299.48559716081866
185000,370.0000000010386,-53383.543354713154,304.390476881865
190000,380.00000000108633,-52933.27175102502,307.1891162817985
195000,390.0000000011341,-52985.92567974259,303.6991257750008
200000,400.00000000118183,-53388.15493286913,297.3265159211166
205000,410.0000000012296,-52935.350410839106,306.01508806408077
210000,420.00000000127733,-53158.71938960886,293.88408687083415
