#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
100,0.20000000000000015,-65534.239483142126,55.41639575484826
200,0.4000000000000003,-63937.632139285706,101.50261536519194
300,0.6000000000000004,-62502.22933448112,134.15811333472035
400,0.8000000000000006,-61596.59224666696,164.98437604587568
500,1.0000000000000007,-60532.47848769734,186.50486306063357
600,1.2000000000000008,-59768.409757682995,202.68077927283633
700,1.400000000000001,-59088.33760184815,219.87261360790535
800,1.6000000000000012,-58467.58641093294,230.2195874723278
900,1.8000000000000014,-58099.82689782954,243.81174470554475
1000,2.0000000000000013,-57214.754747781815,244.1020183709063
1100,2.1999999999999793,-56738.33378130724,253.41723391423693
1200,2.3999999999999573,-56653.42688883416,264.0702539544186
1300,2.5999999999999353,-56266.614215970214,259.2405407616476
1400,2.7999999999999132,-55971.068952646165,267.03776156145454
1500,2.999999999999891,-55979.34712866208,274.74062072188906
1600,3.199999999999869,-55342.9424122803,273.3414112679978
1700,3.399999999999847,-55245.71631252661,275.3587797181057
1800,3.599999999999825,-55160.364609369455,270.69456774446724
1900,3.799999999999803,-55368.41867002018,279.7942142922281
2000,3.999999999999781,-55306.43306515401,292.01250584614536
2100,4.1999999999997595,-54753.59063584043,278.90798329755876
2200,4.3999999999997375,-54628.948938430054,288.63281408793074
2300,4.599999999999715,-54364.55112061574,287.08491484153654
2400,4.799999999999693,-54248.03999907497,287.03649437648914
2500,4.999999999999671,-54482.202335016016,290.8385863581806
2600,5.199999999999649,-54222.140573489916,288.69569301281314
2700,5.399999999999627,-54330.24780031308,293.6434602074775
2800,5.599999999999605,-53790.45939060298,284.83663706669205
2900,5.799999999999583,-54004.76433849952,295.24705130059886
3000,5.999999999999561,-53965.428354651725,301.60908941025906
3100,6.199999999999539,-53755.75037642746,297.34749426752404
3200,6.399999999999517,-53458.16722475621,294.74752117847856
3300,6.599999999999495,-53337.411856275285,295.37905968298446
3400,6.799999999999473,-53554.17661600048,305.47401641588084
3500,6.999999999999451,-53306.10826341895,300.87096128003265
3600,7.199999999999429,-53215.022418347595,302.39176825246835
3700,7.399999999999407,-53356.53824216375,300.70681128053155
3800,7.599999999999385,-53180.19535971063,296.7576214170992
3900,7.799999999999363,-53244.467191592674,298.7433334197393
4000,7.999999999999341,-53144.56754796798,296.53602903089165
4100,8.199999999999408,-53460.57257117136,301.06168271466845
4200,8.399999999999475,-53493.092966384196,299.694226062712
4300,8.599999999999541,-53366.32935684113,292.544931476627
4400,8.799999999999608,-53543.27501512758,292.57065437272735
4500,8.999999999999675,-53615.002917336125,297.7376685782819
4600,9.199999999999742,-53945.92074669627,305.53857764168833
4700,9.399999999999809,-53400.49109080274,291.73187922245404
4800,9.599999999999875,-53805.37094737071,299.2506232106415
4900,9.799999999999942,-53527.36568193318,290.05445515025343
5000,10.000000000000009,-53761.72542930892,302.3661910462265
