#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
5000,10.000000000000009,-23622.745916455155,313.75705578048
10000,19.999999999999794,-23632.24244867162,296.53371715889426
15000,29.99999999999425,-23797.54025404212,303.72877116393107
20000,40.00000000000292,-24134.62060570081,301.1681351978409
25000,50.00000000001514,-23831.99768390153,296.3912736874777
30000,60.00000000002736,-24152.339776339766,305.30481311013085
35000,70.00000000001826,-23799.637605300944,304.78338555781414
40000,79.99999999999496,-23844.725850007133,303.9887920620663
45000,89.99999999997165,-24060.829998834583,303.8091640371028
50000,99.99999999994834,-23855.45053624647,293.253820883288
55000,109.99999999992504,-23616.012333589955,305.95179968620886
60000,119.99999999990173,-23988.33145823689,288.48431712073926
65000,129.99999999989262,-23844.701468380255,309.10842163290346
70000,139.99999999994037,-23734.21860781571,296.7261598023552
75000,149.99999999998812,-23909.264264867146,301.78865687612495
80000,160.00000000003587,-23919.678110304696,296.6344376028457
85000,170.00000000008362,-23850.082261918622,303.7171390542348
90000,180.00000000013137,-23952.26151841742,304.93141448400206
95000,190.0000000001791,-23861.635692885888,291.1797757048298
100000,200.00000000022686,-23869.99702910724,294.5657473961927
105000,210.0000000002746,-23905.564459111818,296.6551463775136
110000,220.00000000032236,-23950.327893759444,300.09001681384325
115000,230.0000000003701,-23888.455975141507,295.4146848615906
120000,240.00000000041786,-23835.113988389232,298.3444820881277
125000,250.0000000004656,-23805.1881127402,303.1742259025514
130000,260.00000000051335,-23849.540413166163,290.6803510310571
135000,270.0000000005611,-23845.240565569795,305.4138489748859
140000,280.00000000060885,-23876.386173906445,307.5690382963633
145000,290.0000000006566,-23769.690800423035,301.04744170024145
150000,300.00000000070435,-23843.839519439265,295.447739107557
155000,310.0000000007521,-23737.052739779596,307.114372128376
160000,320.00000000079984,-23821.898835771033,308.381130824799
165000,330.0000000008476,-23917.91880947475,306.9964322134049
170000,340.00000000089534,-23640.585817250845,297.55817196555904
175000,350.0000000009431,-24016.406033813197,294.46103977610943
180000,360.00000000099084,-23635.352636468757,295.9679509337857
185000,370.0000000010386,-23981.57999106904,294.5613743142935
190000,380.00000000108633,-23746.9614426029,292.256152072275
195000,390.0000000011341,-23920.150481568562,295.4313775547015
200000,400.00000000118183,-23831.595387266774,294.1509424086762
205000,410.0000000012296,-23938.670195081082,300.5367000829352
210000,420.00000000127733,-23991.877211222527,292.0259385738288
215000,430.0000000013251,-23665.507881306374,309.16338902579713
220000,440.0000000013728,-23874.76920550021,292.50918281470763
225000,450.0000000014206,-23837.32050766307,295.3282152187545
230000,460.0000000014683,-23755.494521627115,301.8911625563507
235000,470.00000000151607,-23665.47576653032,286.14540420357287
240000,480.0000000015638,-23794.650309583318,289.84423025750556
245000,490.00000000161157,-23737.391816826363,298.25681485037387
250000,500.0000000016593,-23972.986480927168,295.480117447485
255000,510.00000000170706,-23987.28127807699,298.2985021947469
260000,520.0000000015274,-23978.199125748622,307.4804346078964
265000,530.0000000012909,-23915.594478173778,288.2657415517685
270000,540.0000000010544,-24061.27338704739,293.177739051596
275000,550.000000000818,-24006.58726273956,300.374640287541
